"bank_id","species","common_name"
3375,"Acantharchus pomotis","Mud Sunfish"
4381,"Acantharchus pomotis","Mud Sunfish"
460,"Acantharchus pomotis","Mud Sunfish"
6687,"Acantharchus pomotis","Mud Sunfish"
1710,"Acantharchus pomotis","Mud Sunfish"
2168,"Acantharchus pomotis","Mud Sunfish"
6361,"Acantharchus pomotis","Mud Sunfish"
607,"Acantharchus pomotis","Mud Sunfish"
462,"Acantharchus pomotis","Mud Sunfish"
3551,"Acantharchus pomotis","Mud Sunfish"
551,"Acantharchus pomotis","Mud Sunfish"
608,"Acantharchus pomotis","Mud Sunfish"
552,"Acantharchus pomotis","Mud Sunfish"
2213,"Acantharchus pomotis","Mud Sunfish"
4627,"Acantharchus pomotis","Mud Sunfish"
4628,"Acantharchus pomotis","Mud Sunfish"
6750,"Acantharchus pomotis","Mud Sunfish"
6180,"Acantharchus pomotis","Mud Sunfish"
7319,"Acantharchus pomotis","Mud Sunfish"
5848,"Acantharchus pomotis","Mud Sunfish"
5682,"Acantharchus pomotis","Mud Sunfish"
1136,"Acantharchus pomotis","Mud Sunfish"
554,"Acantharchus pomotis","Mud Sunfish"
5637,"Acantharchus pomotis","Mud Sunfish"
3377,"Acantharchus pomotis","Mud Sunfish"
609,"Acantharchus pomotis","Mud Sunfish"
553,"Acantharchus pomotis","Mud Sunfish"
1054,"Acantharchus pomotis","Mud Sunfish"
6637,"Acantharchus pomotis","Mud Sunfish"
557,"Acantharchus pomotis","Mud Sunfish"
2005,"Acantharchus pomotis","Mud Sunfish"
7259,"Acantharchus pomotis","Mud Sunfish"
911,"Acantharchus pomotis","Mud Sunfish"
3483,"Acantharchus pomotis","Mud Sunfish"
659,"Acantharchus pomotis","Mud Sunfish"
7251,"Acantharchus pomotis","Mud Sunfish"
3180,"Acantharchus pomotis","Mud Sunfish"
1159,"Acantharchus pomotis","Mud Sunfish"
559,"Acantharchus pomotis","Mud Sunfish"
610,"Acantharchus pomotis","Mud Sunfish"
4617,"Acantharchus pomotis","Mud Sunfish"
611,"Acantharchus pomotis","Mud Sunfish"
2174,"Acantharchus pomotis","Mud Sunfish"
5904,"Acantharchus pomotis","Mud Sunfish"
6044,"Acantharchus pomotis","Mud Sunfish"
6194,"Acantharchus pomotis","Mud Sunfish"
560,"Acantharchus pomotis","Mud Sunfish"
651,"Acantharchus pomotis","Mud Sunfish"
5770,"Acantharchus pomotis","Mud Sunfish"
2680,"Acantharchus pomotis","Mud Sunfish"
6480,"Acantharchus pomotis","Mud Sunfish"
2032,"Acantharchus pomotis","Mud Sunfish"
3444,"Acantharchus pomotis","Mud Sunfish"
2354,"Acantharchus pomotis","Mud Sunfish"
6971,"Acantharchus pomotis","Mud Sunfish"
5132,"Acantharchus pomotis","Mud Sunfish"
1999,"Acantharchus pomotis","Mud Sunfish"
7042,"Acantharchus pomotis","Mud Sunfish"
6347,"Acantharchus pomotis","Mud Sunfish"
1056,"Acantharchus pomotis","Mud Sunfish"
427,"Acantharchus pomotis","Mud Sunfish"
2414,"Acantharchus pomotis","Mud Sunfish"
2181,"Acantharchus pomotis","Mud Sunfish"
1991,"Acantharchus pomotis","Mud Sunfish"
1992,"Acantharchus pomotis","Mud Sunfish"
1063,"Acantharchus pomotis","Mud Sunfish"
7288,"Acantharchus pomotis","Mud Sunfish"
4546,"Acantharchus pomotis","Mud Sunfish"
4881,"Acantharchus pomotis","Mud Sunfish"
1047,"Acantharchus pomotis","Mud Sunfish"
652,"Acantharchus pomotis","Mud Sunfish"
617,"Acantharchus pomotis","Mud Sunfish"
2633,"Acantharchus pomotis","Mud Sunfish"
565,"Acantharchus pomotis","Mud Sunfish"
5992,"Acantharchus pomotis","Mud Sunfish"
566,"Acantharchus pomotis","Mud Sunfish"
1037,"Acantharchus pomotis","Mud Sunfish"
567,"Acantharchus pomotis","Mud Sunfish"
6532,"Acantharchus pomotis","Mud Sunfish"
1584,"Acantharchus pomotis","Mud Sunfish"
290,"Acantharchus pomotis","Mud Sunfish"
1851,"Acantharchus pomotis","Mud Sunfish"
6674,"Acantharchus pomotis","Mud Sunfish"
619,"Acantharchus pomotis","Mud Sunfish"
1049,"Acantharchus pomotis","Mud Sunfish"
620,"Acantharchus pomotis","Mud Sunfish"
1065,"Acantharchus pomotis","Mud Sunfish"
500,"Acantharchus pomotis","Mud Sunfish"
568,"Acantharchus pomotis","Mud Sunfish"
6351,"Acantharchus pomotis","Mud Sunfish"
6693,"Acantharchus pomotis","Mud Sunfish"
6189,"Acantharchus pomotis","Mud Sunfish"
2258,"Acantharchus pomotis","Mud Sunfish"
3439,"Acantharchus pomotis","Mud Sunfish"
5371,"Acantharchus pomotis","Mud Sunfish"
465,"Acantharchus pomotis","Mud Sunfish"
623,"Acantharchus pomotis","Mud Sunfish"
3369,"Acantharchus pomotis","Mud Sunfish"
7208,"Acantharchus pomotis","Mud Sunfish"
624,"Acantharchus pomotis","Mud Sunfish"
1935,"Acantharchus pomotis","Mud Sunfish"
1480,"Acantharchus pomotis","Mud Sunfish"
235,"Acantharchus pomotis","Mud Sunfish"
1461,"Acantharchus pomotis","Mud Sunfish"
6341,"Acantharchus pomotis","Mud Sunfish"
2153,"Acantharchus pomotis","Mud Sunfish"
6619,"Acantharchus pomotis","Mud Sunfish"
572,"Acantharchus pomotis","Mud Sunfish"
6482,"Acantharchus pomotis","Mud Sunfish"
6672,"Acantharchus pomotis","Mud Sunfish"
109,"Acantharchus pomotis","Mud Sunfish"
6675,"Acantharchus pomotis","Mud Sunfish"
2171,"Acantharchus pomotis","Mud Sunfish"
107,"Acantharchus pomotis","Mud Sunfish"
4805,"Acantharchus pomotis","Mud Sunfish"
1868,"Acantharchus pomotis","Mud Sunfish"
5479,"Acantharchus pomotis","Mud Sunfish"
5410,"Acantharchus pomotis","Mud Sunfish"
5014,"Acantharchus pomotis","Mud Sunfish"
1243,"Acantharchus pomotis","Mud Sunfish"
2812,"Acantharchus pomotis","Mud Sunfish"
2355,"Acantharchus pomotis","Mud Sunfish"
628,"Acantharchus pomotis","Mud Sunfish"
5385,"Acantharchus pomotis","Mud Sunfish"
6337,"Acantharchus pomotis","Mud Sunfish"
4560,"Acantharchus pomotis","Mud Sunfish"
1287,"Acantharchus pomotis","Mud Sunfish"
1741,"Acantharchus pomotis","Mud Sunfish"
1227,"Acantharchus pomotis","Mud Sunfish"
467,"Acantharchus pomotis","Mud Sunfish"
629,"Acantharchus pomotis","Mud Sunfish"
630,"Acantharchus pomotis","Mud Sunfish"
5293,"Acantharchus pomotis","Mud Sunfish"
5301,"Acantharchus pomotis","Mud Sunfish"
5302,"Acantharchus pomotis","Mud Sunfish"
5300,"Acantharchus pomotis","Mud Sunfish"
5303,"Acantharchus pomotis","Mud Sunfish"
5304,"Acantharchus pomotis","Mud Sunfish"
4802,"Acantharchus pomotis","Mud Sunfish"
631,"Acantharchus pomotis","Mud Sunfish"
2718,"Acantharchus pomotis","Mud Sunfish"
468,"Acantharchus pomotis","Mud Sunfish"
4809,"Acantharchus pomotis","Mud Sunfish"
1185,"Acantharchus pomotis","Mud Sunfish"
2130,"Acantharchus pomotis","Mud Sunfish"
2131,"Acantharchus pomotis","Mud Sunfish"
7252,"Acantharchus pomotis","Mud Sunfish"
1486,"Acantharchus pomotis","Mud Sunfish"
7109,"Acantharchus pomotis","Mud Sunfish"
494,"Acantharchus pomotis","Mud Sunfish"
5195,"Acantharchus pomotis","Mud Sunfish"
3656,"Acantharchus pomotis","Mud Sunfish"
3655,"Acantharchus pomotis","Mud Sunfish"
3657,"Acantharchus pomotis","Mud Sunfish"
3660,"Acantharchus pomotis","Mud Sunfish"
4522,"Acantharchus pomotis","Mud Sunfish"
3661,"Acantharchus pomotis","Mud Sunfish"
5042,"Acantharchus pomotis","Mud Sunfish"
3662,"Acantharchus pomotis","Mud Sunfish"
3665,"Acantharchus pomotis","Mud Sunfish"
6770,"Acantharchus pomotis","Mud Sunfish"
3668,"Acantharchus pomotis","Mud Sunfish"
5422,"Acantharchus pomotis","Mud Sunfish"
3670,"Acantharchus pomotis","Mud Sunfish"
3671,"Acantharchus pomotis","Mud Sunfish"
3673,"Acantharchus pomotis","Mud Sunfish"
3674,"Acantharchus pomotis","Mud Sunfish"
5035,"Acantharchus pomotis","Mud Sunfish"
3676,"Acantharchus pomotis","Mud Sunfish"
3679,"Acantharchus pomotis","Mud Sunfish"
3681,"Acantharchus pomotis","Mud Sunfish"
3685,"Acantharchus pomotis","Mud Sunfish"
3686,"Acantharchus pomotis","Mud Sunfish"
3688,"Acantharchus pomotis","Mud Sunfish"
3689,"Acantharchus pomotis","Mud Sunfish"
3690,"Acantharchus pomotis","Mud Sunfish"
3692,"Acantharchus pomotis","Mud Sunfish"
7275,"Acantharchus pomotis","Mud Sunfish"
3694,"Acantharchus pomotis","Mud Sunfish"
3695,"Acantharchus pomotis","Mud Sunfish"
6560,"Acantharchus pomotis","Mud Sunfish"
3699,"Acantharchus pomotis","Mud Sunfish"
3700,"Acantharchus pomotis","Mud Sunfish"
7116,"Acantharchus pomotis","Mud Sunfish"
3703,"Acantharchus pomotis","Mud Sunfish"
3705,"Acantharchus pomotis","Mud Sunfish"
4557,"Acantharchus pomotis","Mud Sunfish"
3707,"Acantharchus pomotis","Mud Sunfish"
5765,"Acantharchus pomotis","Mud Sunfish"
3710,"Acantharchus pomotis","Mud Sunfish"
3711,"Acantharchus pomotis","Mud Sunfish"
7276,"Acantharchus pomotis","Mud Sunfish"
6355,"Acantharchus pomotis","Mud Sunfish"
3718,"Acantharchus pomotis","Mud Sunfish"
5499,"Acantharchus pomotis","Mud Sunfish"
3721,"Acantharchus pomotis","Mud Sunfish"
3722,"Acantharchus pomotis","Mud Sunfish"
3724,"Acantharchus pomotis","Mud Sunfish"
3725,"Acantharchus pomotis","Mud Sunfish"
3726,"Acantharchus pomotis","Mud Sunfish"
3727,"Acantharchus pomotis","Mud Sunfish"
7117,"Acantharchus pomotis","Mud Sunfish"
3728,"Acantharchus pomotis","Mud Sunfish"
3729,"Acantharchus pomotis","Mud Sunfish"
3730,"Acantharchus pomotis","Mud Sunfish"
5958,"Acantharchus pomotis","Mud Sunfish"
3735,"Acantharchus pomotis","Mud Sunfish"
3736,"Acantharchus pomotis","Mud Sunfish"
3737,"Acantharchus pomotis","Mud Sunfish"
5782,"Acantharchus pomotis","Mud Sunfish"
5780,"Acantharchus pomotis","Mud Sunfish"
6008,"Acantharchus pomotis","Mud Sunfish"
6545,"Acantharchus pomotis","Mud Sunfish"
5330,"Acantharchus pomotis","Mud Sunfish"
3739,"Acantharchus pomotis","Mud Sunfish"
5779,"Acantharchus pomotis","Mud Sunfish"
3740,"Acantharchus pomotis","Mud Sunfish"
3742,"Acantharchus pomotis","Mud Sunfish"
5583,"Acantharchus pomotis","Mud Sunfish"
3743,"Acantharchus pomotis","Mud Sunfish"
3745,"Acantharchus pomotis","Mud Sunfish"
3746,"Acantharchus pomotis","Mud Sunfish"
3747,"Acantharchus pomotis","Mud Sunfish"
3748,"Acantharchus pomotis","Mud Sunfish"
3752,"Acantharchus pomotis","Mud Sunfish"
7228,"Acantharchus pomotis","Mud Sunfish"
3756,"Acantharchus pomotis","Mud Sunfish"
3757,"Acantharchus pomotis","Mud Sunfish"
3758,"Acantharchus pomotis","Mud Sunfish"
3760,"Acantharchus pomotis","Mud Sunfish"
3761,"Acantharchus pomotis","Mud Sunfish"
3763,"Acantharchus pomotis","Mud Sunfish"
5506,"Acantharchus pomotis","Mud Sunfish"
3764,"Acantharchus pomotis","Mud Sunfish"
3772,"Acantharchus pomotis","Mud Sunfish"
3775,"Acantharchus pomotis","Mud Sunfish"
4554,"Acantharchus pomotis","Mud Sunfish"
3779,"Acantharchus pomotis","Mud Sunfish"
3780,"Acantharchus pomotis","Mud Sunfish"
3782,"Acantharchus pomotis","Mud Sunfish"
3783,"Acantharchus pomotis","Mud Sunfish"
3784,"Acantharchus pomotis","Mud Sunfish"
3781,"Acantharchus pomotis","Mud Sunfish"
3785,"Acantharchus pomotis","Mud Sunfish"
3788,"Acantharchus pomotis","Mud Sunfish"
