bank_id,centroid
6669,"c(-85.5640218932461, 40.0155628155476)"
6493,"c(-86.0939665862487, 40.097004377371)"
6930,"c(-85.560169, 37.527208)"
6903,"c(-84.6539, 37.46014)"
6925,"c(-84.7428, 38.8846)"
3645,"c(-83.7258813873106, 38.2602702919796)"
6900,"c(-83.005144, 38.067587)"
6437,"c(-85.5581395622885, 37.6065649835546)"
6864,"c(-88.0392798758104, 37.5441626936895)"
6909,"c(-85.01717, 38.49484)"
3171,"c(-85.8561303223482, 36.9763761128727)"
6869,"c(-83.4491837190666, 37.9101145931849)"
6912,"c(-84.9582, 38.4335)"
6913,"c(-84.5854, 38.0204)"
3005,"c(-83.6508019889071, 37.8816561778995)"
3107,"c(-87.9077855040666, 37.6385917542243)"
6776,"c(-83.1756810314697, 38.1288549814236)"
3004,"c(-84.7525458117572, 38.3613864130858)"
4310,"c(-87.693, 37.5)"
6929,"c(-85.557793, 38.102725)"
6926,"c(-85.49005, 38.174781)"
6941,"c(-83.278985, 37.663205)"
6907,"c(-86.53044, 37.218586)"
6906,"c(-86.512677, 37.216113)"
3106,"c(-84.9933425139445, 37.1549695472452)"
6904,"c(-87.467895, 37.88554)"
6921,"c(-84.716846, 39.000302)"
5310,"c(-85.5923941051871, 37.8656992621452)"
6928,"c(-85.598778, 38.339694)"
6943,"c(-83.10058, 37.943268)"
6905,"c(-86.429608, 37.154505)"
3173,"c(-83.1224303445494, 38.1355117984335)"
6940,"c(-83.881435, 37.638405)"
6937,"c(-83.793078, 37.341546)"
3172,"c(-83.2174570911929, 38.1201308989355)"
6901,"c(-83.175393, 38.130422)"
6914,"c(-83.607141, 38.301421)"
6918,"c(-84.790387, 38.958227)"
3105,"c(-83.9385569938909, 38.3549721043176)"
6931,"c(-85.870725, 38.161648)"
6911,"c(-84.75164, 38.35102)"
3267,"c(-84.7435427296431, 38.3547931728569)"
6945,"c(-83.240931, 37.91183)"
6899,"c(-82.694245, 37.893369)"
